C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,kontrolka,,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,
3.45,2.63,0.04,0.96,0,0,0,0,3,0,67,33,0,0,0,0,FP,0.62471,63.94973,29.97570,0.02113,0.00452,0.006668,0.000203,94.58265,1,68,32,0,0,0,0,100,,0.62471,63.94973,29.97570,0.02113,0.00452,0.006668,0.000203,94.58265
3.45,2.63,0.04,0.96,0,0,0,0,6,0,71,29,0,0,0,0,FP,0.95025,70.14801,23.99703,0.02448,0.00572,0.005013,0.000167,95.13067,1,74,25,0,0,0,0,100,,0.95025,70.14801,23.99703,0.02448,0.00572,0.005013,0.000167,95.13067
3.45,2.63,0.04,0.96,0,0,0,0,12,0,77,23,0,0,0,0,FP,1.69460,78.50332,19.95730,0.03132,0.00801,0.002792,0.000123,100.19746,2,78,20,0,0,0,0,100,,1.69460,78.50332,19.95730,0.03132,0.00801,0.002792,0.000123,100.19746
3.45,2.63,0.04,0.96,0,0,0,0,24,0,81,19,0,0,0,0,FP,3.04513,82.45410,11.31549,0.03462,0.00281,0.001700,0.000079,96.85393,3,85,12,0,0,0,0,100,,3.04513,82.45410,11.31549,0.03462,0.00281,0.001700,0.000079,96.85393
3.52,2.63,0.04,1.51,0,0,0,0,3,0,60,40,0,0,0,0,FP,0.03647,47.41736,44.32959,0.00548,0.00011,0.031087,0.001060,91.82115,0,52,48,0,0,0,0,100,,0.03647,47.41736,44.32959,0.00548,0.00011,0.031087,0.001060,91.82115
3.52,2.63,0.04,1.51,0,0,0,0,6,0,63,37,0,0,0,0,FP,0.05118,53.44539,37.01855,0.00571,0.00014,0.026356,0.000925,90.54826,0,59,41,0,0,0,0,100,,0.05118,53.44539,37.01855,0.00571,0.00014,0.026356,0.000925,90.54826
3.52,2.63,0.04,1.51,0,0,0,0,12,0,67,33,0,0,0,0,FP,0.09201,67.81611,34.00449,0.00719,0.00038,0.013230,0.000726,101.93414,0,67,33,0,0,0,0,100,,0.09201,67.81611,34.00449,0.00719,0.00038,0.013230,0.000726,101.93414
3.52,2.63,0.04,1.51,0,0,0,0,24,0,70,30,0,0,0,0,FP,0.24528,85.33726,32.09298,0.01072,0.00265,0.003674,0.000492,117.69306,0,73,27,0,0,0,0,100,,0.24528,85.33726,32.09298,0.01072,0.00265,0.003674,0.000492,117.69306
3.56,2.54,0.05,1.89,0,0,0,0,3,0,52,48,0,0,0,0,FP,0.00882,49.47603,51.01533,0.00156,0.00007,0.043212,0.002137,100.54716,0,49,51,0,0,0,0,100,,0.00882,49.47603,51.01533,0.00156,0.00007,0.043212,0.002137,100.54716
3.56,2.54,0.05,1.89,0,0,0,0,6,0,56,44,0,0,0,0,FP,0.01196,52.41127,43.18493,0.00154,0.00007,0.043163,0.001823,95.65475,0,55,45,0,0,0,0,100,,0.01196,52.41127,43.18493,0.00154,0.00007,0.043163,0.001823,95.65475
